Country,Name,Type,Comment,ICAO,Airfield Name
Belgium,Brussels National Airport (Zaventem),Airport,,EBBR,Brussels National
Belgium,Oostende,Airport,,EBOS,Oostende
Belgium,Deurne,Airport,,EBAW,Antwerpen Deurne
Belgium,Bierset,Airport,,EBLG,Liege
Belgium,Gosselies,Airport,,EBCI,Brussels South - Charleroi
Belgium,Wevelgem,Aerodrome,,EBKT,Kortrijk-Wevelgem
Bulgaria,Sofia Airport,Airport,,LBSF,Sofia
Bulgaria,Plovdiv Airport,Airport,,LBPD,Plovdiv
Bulgaria,Gorna Oryahovitsa Airport,Airport,,LBGO,Gorna Oryahovitsa
Bulgaria,Varna Airport,Airport,,LBWN,Varna
Bulgaria,Burgas Airport,Airport,,LBBG,Burgas
Croatia,Zagreb,Airport,BIP,LDZA,Zagreb
Croatia,Pula,Airport,,LDPL,Pula
Croatia,Rijeka,Airport,,LDRI,
Croatia,Zadar,Airport,,LDZD,Zadar
Croatia,Split,Airport,,LDSP,Split
Croatia,Dubrovnik,Airport,,LDDU,Dubrovnik
Croatia,Osijek,Airport,,LDOS,Osijek
Croatia,Mali Lošinj,Airport,,LDLO,Mali Losinj
Croatia,Brač,Airport,,LDSB,Brac
Czech Republic,Brno – Tuřany,Airport,Public,LKTB,Turany
Czech Republic,Karlovy Vary,Airport,Public,LKKV,Karlovy Vary
Czech Republic,Mnichovo Hradiště,Airport,Public,LKMH,Mnichovo Hradiste
Czech Republic,Ostrava – Mošnov,Airport,Public,LKMT,Mosnov
Czech Republic,Pardubice,Airport,Public,LKPD,Pardubice
Czech Republic,Praha – Ruzyně,Airport,Public,LKPR,Prague Ruzyne
Czech Republic,Benešov,Airport,Non-public,LKBE,Benesov
Czech Republic,České Budějovice,Airport,Non-public,LKCS,Ceske Budejovice
Czech Republic,Havlíčkův Brod,Airport,Non-public,LKHB,Havlickuv Brod
Czech Republic,Hradec Králové,Airport,Non-public,LKHK,Hradec Kralove
Czech Republic,Chomutov,Airport,Non-public,LKCH,Chomutov
Czech Republic,Kunovice,Airport,Non-public,LKKU,Kunovice
Czech Republic,Letňany,Airport,Non-public,LKLT,Prague Letnany
Czech Republic,Liberec,Airport,Non-public,LKLB,Liberec
Czech Republic,Plzeň - Líně,Airport,Non-public,LKLN,Plzen Line
Czech Republic,Přerov,Airport,Non-public,LKPO,Prerov
Czech Republic,Roudnice nad Labem,Airport,Non-public,LKRO,Roudnice
Czech Republic,Vodochody,Airport,Non-public,LKVO,Vodochody
Czech Republic,Vysoké Mýto,Airport,Non-public,LKVM,Vysoke Myto
Czech Republic,Čáslav,Airport,Military,LKCV,Caslav
Czech Republic,Kbely,Airport,Military,LKKB,Kbely
Czech Republic,Náměšť,Airport,Military,LKNA,Namest
Denmark,Billund Lufthavn,Airport,,EKBI,Billund
Denmark,Esbjerg Lufthavn,Airport,,EKEB,Esbjerg
Denmark,Grønholt Flyveplads,Airfield,,EKGH,Gronholt Hillerod
Denmark,Herning Flyveplads,Airfield,,EKHG,Herning Skinnerh
Denmark,Karup Lufthavn,Airport,,EKKA,Karup
Denmark,Koldingegnens Lufthavn i Vamdrup,Airport,,EKVD,Kolding Vamdrup
Denmark,Københavns Lufthavn i Kastrup,Airport,,EKCH,Copenhagen Kastrup
Denmark,Lolland-Falster Lufthavn,Airport,,EKMB,Morso
Denmark,Lemvig Lufthavn,Airport,,EKLV,Lemvig
Denmark,Odense Lufthavn,Airport,,EKOD,Odense
Denmark,Randers Flyveplads,Airfield,,EKRD,Randers
Denmark,Københs Lufthavn i Roskilde,Airport,,EKRK,Roskilde
Denmark,Bornholms Lufthavn,Airport,,EKRN,Bornholm Ronne
Denmark,Sindal Lufthavn,Airport,,EKSN,Sindal
Denmark,Skive Lufthavn,Airport,,EKSV,Skive
Denmark,Stauning Lufthavn,Airport,,EKST,Sydfyn Tasinge D
Denmark,Sydfyns Flyveplads på Tåsinge,Airfield,,EKST,Thisted
Denmark,Sønderborg Lufthavn,Airport,,EKSB,Sonderborg
Denmark,Thisted Lufthavn,Airport,,EKTS,Thisted
Denmark,Vojens Lufthavn,Airport,,EKVJ,Stauning
Denmark,Ærø Lufthavn,Airport,,EKAE,Aero
Denmark,Ålborg Lufthavn,Airport,,EKYT,Aalborg
Denmark,Århus Lufthavn,Airport,,EKAH,Aarhus
Denmark,Års flyveplads i Løgstør,Airfield,,EKAR,SYD ARNE
Denmark,Vágar Lufthavn,Airport,Faroe Islands,EKVG,Vagar
Denmark,Aasiaat Lufthavn (Egedesminde),Airport,Greenland,BGAA,
Denmark,Ilulissat Lufthavn (Jakobshavn),Airport,Greenland,BGJN,Ilulissat/Jakobshavn
Denmark,Kangerlussuaq Lufthavn (Søndre Strømfjord),Airport,Greenland,BGSF,Kangerlussuaq
Denmark,Kulusuk Lufthavn,Airport,Greenland,BGKK,Kulusuk
Denmark,Maniitsoq Lufthavn (Sukkertoppen),Airport,Greenland,BGMQ,
Denmark,Nerlerit Inaat Lufthavn,Airport,Greenland,BGCO,Nerlerit Inaat/Constable Pynt
Denmark,Narsarsuaq Lufthavn,Airport,Greenland,BGBW,Narsarsuaq
Denmark,Pituffik Lufthavn (Thule),Airport,Greenland,BGTL,
Denmark,Paamiut Lufthavn,Airport,Greenland,BGPT,Paamiut
